,self,id,description,iconUrl,name,untranslatedName,subtask,avatarId,hierarchyLevel
Cloud Security,https://ecosystem.atlassian.net/rest/api/2/issuetype/13899,13899,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15316?size=medium,Cloud Security,Cloud Security,True,15316.0,-1
Marketplace Incident,https://ecosystem.atlassian.net/rest/api/2/issuetype/14124,14124,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15315?size=medium,Marketplace Incident,Marketplace Incident,False,15315.0,0
Ecosystem Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/18495,18495,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Ecosystem Request,Ecosystem Request,False,15300.0,0
Technical Skills Review,https://ecosystem.atlassian.net/rest/api/2/issuetype/17064,17064,Technical Skills Review,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Technical Skills Review,Technical Skills Review,False,15300.0,0
Forge,https://ecosystem.atlassian.net/rest/api/2/issuetype/13939,13939,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15316?size=medium,Forge,Forge,True,15316.0,-1
[System] Problem,https://ecosystem.atlassian.net/rest/api/2/issuetype/14122,14122,Track underlying causes of incidents. Created by Jira Service Management.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35925?size=medium,[System] Problem,[System] Problem,False,35925.0,0
3Lo App Approval,https://ecosystem.atlassian.net/rest/api/2/issuetype/13900,13900,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,3Lo App Approval,3Lo App Approval,False,15300.0,0
Cloud Migration API,https://ecosystem.atlassian.net/rest/api/2/issuetype/13846,13846,Cloud Migration API,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15311?size=medium,Cloud Migration API,Cloud Migration API,False,15311.0,0
App retirement,https://ecosystem.atlassian.net/rest/api/2/issuetype/14141,14141,Issue Type to retire apps from the Atlassian Marketplace,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15304?size=medium,App retirement,App retirement,False,15304.0,0
Free Cloud License Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/12100,12100,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15314?size=medium,Free Cloud License Request,Free Cloud License Request,False,15314.0,0
Sub-task,https://ecosystem.atlassian.net/rest/api/2/issuetype/6,6,The sub-task of the issue,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15316?size=medium,Sub-task,Sub-task,True,15316.0,-1
Payment Support,https://ecosystem.atlassian.net/rest/api/2/issuetype/13100,13100,*FOR ISSUES RELATED TO THE MONTHLY VENDOR SUPPORT PAYMENTS ONLY*,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Payment Support,Payment Support,False,15300.0,0
App Incident,https://ecosystem.atlassian.net/rest/api/2/issuetype/10101,10101,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15308?size=medium,App Incident,App Incident,False,15308.0,0
Loyalty Discount,https://ecosystem.atlassian.net/rest/api/2/issuetype/13970,13970,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15314?size=medium,Loyalty Discount,Loyalty Discount,False,15314.0,0
DAC Feedback: App Management,https://ecosystem.atlassian.net/rest/api/2/issuetype/12800,12800,All of the feedback that came from the Application Management issues collector.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,DAC Feedback: App Management,DAC Feedback: App Management,False,15300.0,0
API Access Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/13240,13240,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/25802?size=medium,API Access Request,API Access Request,False,25802.0,0
Feature,https://ecosystem.atlassian.net/rest/api/2/issuetype/18659,18659,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15311?size=medium,Feature,Feature,False,15311.0,0
Cloud Migration Escalations,https://ecosystem.atlassian.net/rest/api/2/issuetype/14470,14470,Cloud Migration Escalations for Marketplace Apps,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15303?size=medium,Cloud Migration Escalations,Cloud Migration Escalations,False,15303.0,0
Security Vulnerability,https://ecosystem.atlassian.net/rest/api/2/issuetype/13979,13979,"Vulnerabilities not identified by a scanner. Includes issues from customers, partners, ecosystem security team, and product team.",https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Security Vulnerability,Security Vulnerability,False,15300.0,0
Success Metric,https://ecosystem.atlassian.net/rest/api/2/issuetype/30,30,,https://ecosystem.atlassian.net/images/icons/issuetypes/defect.png,Success Metric,Success Metric,False,,0
Third-party issue,https://ecosystem.atlassian.net/rest/api/2/issuetype/27,27,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Third-party issue,Third-party issue,False,15300.0,0
Request a vendor security review,https://ecosystem.atlassian.net/rest/api/2/issuetype/13463,13463,Vendor partners - Use this to request a vendor security review using CAIQ-lite questionnaire from Atlassian,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Request a vendor security review,Request a vendor security review,False,15300.0,0
Marketplace Security Support,https://ecosystem.atlassian.net/rest/api/2/issuetype/13746,13746,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Marketplace Security Support,Marketplace Security Support,False,15300.0,0
Technical Debt,https://ecosystem.atlassian.net/rest/api/2/issuetype/10500,10500,Technical Debt issue,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15308?size=medium,Technical Debt,Technical Debt,False,15308.0,0
Custom app,https://ecosystem.atlassian.net/rest/api/2/issuetype/13866,13866,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15304?size=medium,Custom app,Custom app,False,15304.0,0
DAC Feedback,https://ecosystem.atlassian.net/rest/api/2/issuetype/18,18,User feedback for pages on developer.atlassian.com.,https://ecosystem.atlassian.net/images/icons/issuetypes/exclamation.png,DAC Feedback,DAC Feedback,False,,0
Atlassian Community Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/12202,12202,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15309?size=medium,Atlassian Community Request,Atlassian Community Request,False,15309.0,0
Blog,https://ecosystem.atlassian.net/rest/api/2/issuetype/11700,11700,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Blog,Blog,False,15300.0,0
Sparring Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/12302,12302,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Sparring Request,Sparring Request,False,15300.0,0
Partner Verification,https://ecosystem.atlassian.net/rest/api/2/issuetype/18681,18681,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/39553?size=medium,Partner Verification,Partner Verification,False,39553.0,0
DevOps Task,https://ecosystem.atlassian.net/rest/api/2/issuetype/10600,10600,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,DevOps Task,DevOps Task,False,15300.0,0
Service Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/12200,12200,Created by JIRA Service Desk.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35200?size=medium,Service Request,Service Request,False,35200.0,0
IT Help,https://ecosystem.atlassian.net/rest/api/2/issuetype/10200,10200,For general IT problems and questions. Created by JIRA Service Desk.,https://ecosystem.atlassian.net/servicedesk/issue-type-icons?icon=it-help,IT Help,IT Help,False,,0
TechOps Investigation,https://ecosystem.atlassian.net/rest/api/2/issuetype/13853,13853,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,TechOps Investigation,TechOps Investigation,False,15300.0,0
Feedback,https://ecosystem.atlassian.net/rest/api/2/issuetype/10900,10900,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Feedback,Feedback,False,15300.0,0
Approval Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/14274,14274,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15311?size=medium,Approval Request,Approval Request,False,15311.0,0
Content Change,https://ecosystem.atlassian.net/rest/api/2/issuetype/13855,13855,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15306?size=medium,Content Change,Content Change,False,15306.0,0
Task,https://ecosystem.atlassian.net/rest/api/2/issuetype/3,3,A task that needs to be done.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15318?size=medium,Task,Task,False,15318.0,0
Change,https://ecosystem.atlassian.net/rest/api/2/issuetype/10701,10701,For system upgrades or alterations. Created by JIRA Service Desk.,https://ecosystem.atlassian.net/servicedesk/issue-type-icons?icon=change,Change,Change,False,,0
Access,https://ecosystem.atlassian.net/rest/api/2/issuetype/10201,10201,For new system accounts or passwords. Created by JIRA Service Desk.,https://ecosystem.atlassian.net/servicedesk/issue-type-icons?icon=access,Access,Access,False,,0
Request to opt-out of VDP,https://ecosystem.atlassian.net/rest/api/2/issuetype/13864,13864,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Request to opt-out of VDP,Request to opt-out of VDP,False,15300.0,0
New Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/12600,12600,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,New Request,New Request,False,15300.0,0
Cloud Enterprise EAP Deal Requests,https://ecosystem.atlassian.net/rest/api/2/issuetype/13919,13919,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15314?size=medium,Cloud Enterprise EAP Deal Requests,Cloud Enterprise EAP Deal Requests,False,15314.0,0
Atlassian Incident Reach Out,https://ecosystem.atlassian.net/rest/api/2/issuetype/14258,14258,Outbound message regarding an incident occurring with an app attributed to a problem with the Atlassian Cloud platform.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Atlassian Incident Reach Out,Atlassian Incident Reach Out,False,15300.0,0
Submit a request or incident,https://ecosystem.atlassian.net/rest/api/2/issuetype/13449,13449,Submit a request or report a problem.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35762?size=medium,Submit a request or incident,Submit a request or incident,False,35762.0,0
Support Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/13,13,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15320?size=medium,Support Request,Support Request,False,15320.0,0
Infrastructure,https://ecosystem.atlassian.net/rest/api/2/issuetype/11502,11502,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Infrastructure,Infrastructure,False,15300.0,0
[System] Service request with approvals,https://ecosystem.atlassian.net/rest/api/2/issuetype/14120,14120,A request that follows ITSM workflows.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35923?size=medium,[System] Service request with approvals,[System] Service request with approvals,False,35923.0,0
Forge Program,https://ecosystem.atlassian.net/rest/api/2/issuetype/13946,13946,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15313?size=medium,Forge Program,Forge Program,False,15313.0,4
Bitbucket DC pricing,https://ecosystem.atlassian.net/rest/api/2/issuetype/13102,13102,Update Data Center pricing tiers for Bitbucket server apps,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15314?size=medium,Bitbucket DC pricing,Bitbucket DC pricing,False,15314.0,0
DC App Approval Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/14388,14388,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35940?size=medium,DC App Approval Request,DC App Approval Request,False,35940.0,0
Flakey Test,https://ecosystem.atlassian.net/rest/api/2/issuetype/11300,11300,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/25800?size=medium,Flakey Test,Flakey Test,False,25800.0,0
Complete Review,https://ecosystem.atlassian.net/rest/api/2/issuetype/17063,17063,Complete Review,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Complete Review,Complete Review,False,15300.0,0
Initiative,https://ecosystem.atlassian.net/rest/api/2/issuetype/11600,11600,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15309?size=medium,Initiative,Initiative,False,15309.0,2
Program,https://ecosystem.atlassian.net/rest/api/2/issuetype/18271,18271,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Program,Program,False,15300.0,4
Internal Feedback,https://ecosystem.atlassian.net/rest/api/2/issuetype/12400,12400,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Internal Feedback,Internal Feedback,False,15300.0,0
Unblocking,https://ecosystem.atlassian.net/rest/api/2/issuetype/14287,14287,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15312?size=medium,Unblocking,Unblocking,False,15312.0,0
Scope Justification/Purpose,https://ecosystem.atlassian.net/rest/api/2/issuetype/13473,13473,Provide information on why your application is requesting a particular scope and what data (that the scopes gives you access to) is stored in your infrastructure,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Scope Justification/Purpose,Scope Justification/Purpose,False,15300.0,0
Epic,https://ecosystem.atlassian.net/rest/api/2/issuetype/9,9,A big user story that needs to be broken down. Created by JIRA Software - do not edit or delete.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15307?size=medium,Epic,Epic,False,15307.0,1
Test issue,https://ecosystem.atlassian.net/rest/api/2/issuetype/13146,13146,issue for testing changes ,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Test issue,Test issue,False,15300.0,0
Access Disturbed Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/14380,14380,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Access Disturbed Request,Access Disturbed Request,False,15300.0,0
Non-technical Skills Review,https://ecosystem.atlassian.net/rest/api/2/issuetype/17065,17065,Non-technical Skills Review,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Non-technical Skills Review,Non-technical Skills Review,False,15300.0,0
Pony,https://ecosystem.atlassian.net/rest/api/2/issuetype/26,26,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15315?size=medium,Pony,Pony,False,15315.0,0
App Review,https://ecosystem.atlassian.net/rest/api/2/issuetype/22,22,Marketplace app submissions that need to be reviewed.,https://ecosystem.atlassian.net/images/icons/issuetypes/requirement.png,App Review,App Review,False,,0
Development Task,https://ecosystem.atlassian.net/rest/api/2/issuetype/11501,11501,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Development Task,Development Task,False,15300.0,0
Questions,https://ecosystem.atlassian.net/rest/api/2/issuetype/12301,12301,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Questions,Questions,False,15300.0,0
Security Incident,https://ecosystem.atlassian.net/rest/api/2/issuetype/14125,14125,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/25801?size=medium,Security Incident,Security Incident,False,25801.0,0
Problem,https://ecosystem.atlassian.net/rest/api/2/issuetype/13110,13110,Track underlying causes of incidents. Created by Jira Service Desk.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35712?size=medium,Problem,Problem,False,35712.0,0
part,https://ecosystem.atlassian.net/rest/api/2/issuetype/14166,14166,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,part,part,False,15300.0,0
Atlassian Incident,https://ecosystem.atlassian.net/rest/api/2/issuetype/10100,10100,An incident occurring with an Add-on attributed to a problem with the Atlassian Cloud platform.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15308?size=medium,Atlassian Incident,Atlassian Incident,False,15308.0,0
Ask a question,https://ecosystem.atlassian.net/rest/api/2/issuetype/13450,13450,Have a question? Submit it here.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35763?size=medium,Ask a question,Ask a question,False,35763.0,0
MPAC Feedback,https://ecosystem.atlassian.net/rest/api/2/issuetype/24,24,"Feedback generated from the Marketplace ""Site Feedback"" link",https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15315?size=medium,MPAC Feedback,MPAC Feedback,False,15315.0,0
Product/API Incident,https://ecosystem.atlassian.net/rest/api/2/issuetype/14123,14123,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/25800?size=medium,Product/API Incident,Product/API Incident,False,25800.0,0
Dependency,https://ecosystem.atlassian.net/rest/api/2/issuetype/17105,17105,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Dependency,Dependency,False,15300.0,0
Bug Bounty Vulnerability,https://ecosystem.atlassian.net/rest/api/2/issuetype/13612,13612,Issues detected by Bug Bounty (EcoSec).,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Bug Bounty Vulnerability,Bug Bounty Vulnerability,False,15300.0,0
Emailed request,https://ecosystem.atlassian.net/rest/api/2/issuetype/13451,13451,Request received from your email support channel.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35764?size=medium,Emailed request,Emailed request,False,35764.0,0
Analytics,https://ecosystem.atlassian.net/rest/api/2/issuetype/11100,11100,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15304?size=medium,Analytics,Analytics,False,15304.0,0
[System] Change,https://ecosystem.atlassian.net/rest/api/2/issuetype/14121,14121,Created by Jira Service Management.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35924?size=medium,[System] Change,[System] Change,False,35924.0,0
App Security Incident,https://ecosystem.atlassian.net/rest/api/2/issuetype/11400,11400,An app vendor is reporting a security incident that they discovered on their side.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,App Security Incident,App Security Incident,False,15300.0,0
DAC Beta Feedback,https://ecosystem.atlassian.net/rest/api/2/issuetype/11800,11800,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/25801?size=medium,DAC Beta Feedback,DAC Beta Feedback,False,25801.0,0
Violation,https://ecosystem.atlassian.net/rest/api/2/issuetype/14426,14426,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15308?size=medium,Violation,Violation,False,15308.0,0
Email API Access Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/13876,13876,Email API Access Request,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/25802?size=medium,Email API Access Request,Email API Access Request,False,25802.0,0
Story,https://ecosystem.atlassian.net/rest/api/2/issuetype/5,5,A user story. Created by JIRA Software - do not edit or delete.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15315?size=medium,Story,Story,False,15315.0,0
Cloud Security Approval,https://ecosystem.atlassian.net/rest/api/2/issuetype/11200,11200,Manual review for vendor security self-assessment ,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15318?size=medium,Cloud Security Approval,Cloud Security Approval,False,15318.0,0
Fault,https://ecosystem.atlassian.net/rest/api/2/issuetype/10702,10702,Track system outages or incidents. Created by JIRA Service Desk.,https://ecosystem.atlassian.net/servicedesk/issue-type-icons?icon=fault,Fault,Fault,False,,0
Release Blocker,https://ecosystem.atlassian.net/rest/api/2/issuetype/13854,13854,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35926?size=medium,Release Blocker,Release Blocker,False,35926.0,0
Security,https://ecosystem.atlassian.net/rest/api/2/issuetype/14268,14268,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15304?size=medium,Security,Security,False,15304.0,0
Testing task,https://ecosystem.atlassian.net/rest/api/2/issuetype/10400,10400,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Testing task,Testing task,False,15300.0,0
Tech Story,https://ecosystem.atlassian.net/rest/api/2/issuetype/13165,13165,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Tech Story,Tech Story,False,15300.0,0
